# schema=1
# module<TAB>production-readiness<TAB>evidence
desktop-shared	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
developer-editor	planning	Reviewed configuration remains available but its complete production effects were not selected in the VM matrix
wm-niri	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
wm-hyprland	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
dms-niri-greeter	unavailable	Greeter and login-manager boundary remains explicitly unavailable and deferred
dms-greetd	unavailable	Greeter and login-manager boundary remains explicitly unavailable and deferred
personal-scripts	planning	Reviewed config-only restore remains available but this module was not selected in the VM matrix
personal-autostart	available	FlClash recipe passed clean-chroot build/install/rerun in disposable VM batch 2026-08-03; module-level selection (flclash-bin AUR plus FlClash autostart mapping for physical scope) verified in the full nine-stage DAG of disposable VM batch 2026-08-04
asus-hardware	planning	ASUS package and physical hardware effects remain outside disposable VM acceptance
personal-user-services	planning	Mapped user units remain disabled and their daemon-reload effect was not selected in the VM matrix
base-preconditions	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
archlinuxcn-trust	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
build-foundation	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
repository-tools	available	paru-bootstrap recipe (paru 2.1.0-5) passed clean-chroot build/install/rerun in disposable VM batch 2026-08-03b; module-level selection (paru, downgrade, pacman-contrib, reflector) verified in the full nine-stage DAG of disposable VM batch 2026-08-04
fonts	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
daily-apps	available	All seven daily-apps recipes (clash-verge-rev-bin google-chrome leaf-markdown-viewer-bin linuxqq-appimage obsidian-bin wechat-appimage wooz-git) passed clean-chroot build/install/rerun in disposable VM batches 2026-08-03 and 2026-08-03b; module-level selection verified in the full nine-stage DAG of disposable VM batch 2026-08-04
desktop-apps	planning	Module remains outside the production-validated disposable VM selection
input-fcitx-rime	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
cli-tools	planning	Module remains outside the production-validated disposable VM selection
development-toolchain	available	opencode-bin recipe passed clean-chroot build/install/rerun in disposable VM batch 2026-08-03; claude-code and intellij-idea-ultimate-edition were removed from the module by operator decision on 2026-08-04; module-level selection (opencode-bin plus official and archlinuxcn package effects) verified in the full nine-stage DAG of disposable VM batch 2026-08-04
container-tools	planning	Module remains outside the production-validated disposable VM selection
storage-maintenance	planning	Module remains outside the production-validated disposable VM selection
virtualization	planning	Module remains outside the production-validated disposable VM selection
kernel-support	planning	Module remains outside the production-validated disposable VM selection
audio	available	Disposable Niri Hyprland and both-WM candidate plus canonical VM matrix completed 2026-08-02
bluetooth	planning	Module remains outside the production-validated disposable VM selection
power	planning	Module remains outside the production-validated disposable VM selection
graphics-amd	planning	Module remains outside the production-validated disposable VM selection
graphics-nvidia	planning	Module remains outside the production-validated disposable VM selection
hardware-tools	planning	Module remains outside the production-validated disposable VM selection
recording	planning	Module remains outside the production-validated disposable VM selection
ocr	planning	Module remains outside the production-validated disposable VM selection
