# schema=1
# snapshot-date=2026-07-31
# package<TAB>installed-version<TAB>channel<TAB>repository<TAB>restore-mode<TAB>execution
# Exact live-host explicit package inventory: pacman -Qqe/-Qqen/-Qqem all exited 0.
# All 15 non-sync packages were independently found by read-only paru -Sia AUR queries.
# Inventory only: installer/install.sh may display this file in read-only plan mode but no apply stage may consume it without package policy, dry-run tests and explicit approval.
# package-only installs the application without copying its account/profile data; config-backed pairs it with the repository's reviewed mappings.
accountsservice	26.27.3-1	pacman	extra	package-only	inventory-only
adobe-source-han-sans-cn-fonts	2.005-2	pacman	extra	package-only	inventory-only
adw-gtk-theme	6.5-1	pacman	extra	package-only	inventory-only
alacritty	0.17.0-1	pacman	extra	config-backed	inventory-only
alsa-firmware	1.2.4-4	pacman	extra	package-only	inventory-only
amd-ucode	20260622-1	pacman	core	package-only	inventory-only
archlinuxcn-keyring	20260505-1	pacman	archlinuxcn	package-only	inventory-only
asusctl	6.3.8-1	pacman	archlinuxcn	package-only	inventory-only
base	3-3	pacman	core	manual-precondition	inventory-only
base-devel	1-2	pacman	core	package-only	inventory-only
bat	0.26.1-2	pacman	extra	package-only	inventory-only
blueman	2.4.6-2	pacman	extra	package-only	inventory-only
blueprint-compiler	0.22.2-1	pacman	extra	package-only	inventory-only
bluez	5.87-2	pacman	extra	package-only	inventory-only
btop	1.4.7-1	pacman	extra	package-only	inventory-only
btrfs-assistant	2.2-5	pacman	extra	package-only	inventory-only
btrfs-progs	7.1-1	pacman	core	manual-precondition	inventory-only
cargo-audit	0.22.2-1	pacman	extra	package-only	inventory-only
cava	0.10.7-1	pacman	extra	config-backed	inventory-only
cc-switch	3.19.0-1	pacman	archlinuxcn	package-only	inventory-only
ccache	4.13.6-1	pacman	extra	package-only	inventory-only
cinnamon-translations	6.6.2-1	pacman	extra	package-only	inventory-only
clang	22.1.8-1	pacman	extra	package-only	inventory-only
clash-verge-rev-bin	2.5.2-1	aur	aur	package-only	inventory-only
claude-code	2.1.215-1	aur	aur	package-only	inventory-only
cups-pk-helper	0.2.7-2	pacman	extra	package-only	inventory-only
dgop	0.2.3-1	pacman	extra	config-backed	inventory-only
dms-shell	1.5.3-1	pacman	extra	config-backed	inventory-only
dnsmasq	2.93-1	pacman	extra	package-only	inventory-only
docker	1:29.6.2-1	pacman	extra	package-only	inventory-only
docker-compose	5.3.1-1	pacman	extra	package-only	inventory-only
dosfstools	4.2-5	pacman	core	manual-precondition	inventory-only
downgrade	12.0.2-1	pacman	archlinuxcn	package-only	inventory-only
dsearch-bin	0.3.2-1	aur	aur	config-backed	inventory-only
edk2-ovmf	202605-1	pacman	extra	package-only	inventory-only
efibootmgr	18-4	pacman	core	manual-precondition	inventory-only
evtest	1.36-1	pacman	extra	package-only	inventory-only
exfat-utils	1.4.0-4	pacman	extra	manual-precondition	inventory-only
eza	0.23.5-2	pacman	extra	package-only	inventory-only
fastfetch	2.66.0-1	pacman	extra	package-only	inventory-only
fcitx5	5.1.21-1	pacman	extra	config-backed	inventory-only
fcitx5-configtool	5.1.14-1	pacman	extra	config-backed	inventory-only
fcitx5-gtk	5.1.7-1	pacman	extra	config-backed	inventory-only
fcitx5-qt	5.1.14-1	pacman	extra	config-backed	inventory-only
fcitx5-rime	5.1.14-1	pacman	extra	config-backed	inventory-only
fcitx5-skin-fluentdark-git	v0.4.0.r7.g399699a-1	aur	aur	config-backed	inventory-only
fd	10.4.2-2	pacman	extra	package-only	inventory-only
ffmpegthumbnailer	2.3.0-1	pacman	extra	package-only	inventory-only
file-roller	44.7-1	pacman	extra	package-only	inventory-only
fish	4.8.1-1	pacman	extra	config-backed	inventory-only
flatpak	1:1.18.0-1	pacman	extra	package-only	inventory-only
flclash-bin	0.8.94-1	aur	aur	config-backed	inventory-only
fprintd	1.94.5-2	pacman	extra	package-only	inventory-only
fuzzel-ime-git	1.14.1.r26.g302f228-1	aur	aur	config-backed	inventory-only
fwupd	2.1.7-1	pacman	extra	package-only	inventory-only
fzf	0.74.1-1	pacman	extra	package-only	inventory-only
git	2.55.0-1	pacman	extra	package-only	inventory-only
git-delta	0.19.2-2	pacman	extra	package-only	inventory-only
github-cli	2.96.0-1	pacman	extra	package-only	inventory-only
