# schema=1
# package<TAB>channel<TAB>repository<TAB>acquisition<TAB>module<TAB>restore-mode<TAB>policy<TAB>origin<TAB>purpose
# Reconciled ASUS target: 180 exact current-explicit rows plus reviewed confirmed-desired non-explicit requirements.
# Rolling pacman versions resolve only after full-system refresh; AUR and archlinuxcn retain independent authorization gates.
accountsservice	pacman	extra	pacman	desktop-shared	package-only	install	current-explicit	D-Bus interface for user account query and manipulation
adobe-source-han-sans-cn-fonts	pacman	extra	pacman	fonts	package-only	install	current-explicit	Adobe Source Han Sans Subset OTF - Simplified Chinese OpenType/CFF fonts
adw-gtk-theme	pacman	extra	pacman	desktop-shared	package-only	install	current-explicit	Unofficial GTK 3 port of the libadwaita theme
alacritty	pacman	extra	pacman	desktop-shared	config-backed	install	current-explicit	A cross-platform, GPU-accelerated terminal emulator
alsa-firmware	pacman	extra	pacman	audio	package-only	install	current-explicit	Firmware binaries for loader programs in alsa-tools and hotplug firmware loader
alsa-ucm-conf	pacman	extra	pacman	audio	package-only	install	confirmed-desired	ALSA Use Case Manager configuration (and topologies)
amd-ucode	pacman	core	pacman	graphics-amd	package-only	install	current-explicit	Microcode update image for AMD CPUs
archlinuxcn-keyring	pacman	archlinuxcn	archlinuxcn-bootstrap	archlinuxcn-trust	package-only	install	current-explicit	Arch Linux CN PGP keyring
asusctl	pacman	archlinuxcn	pacman	asus-hardware	package-only	install	current-explicit	A control daemon, CLI tools, and a collection of crates for interacting with ASUS ROG laptops
base	pacman	core	verify-only	base-preconditions	manual-precondition	verify	current-explicit	Minimal package set to define a basic Arch Linux installation
base-devel	pacman	core	pacman	build-foundation	package-only	install	current-explicit	Basic tools to build Arch Linux packages
bash	pacman	core	verify-only	base-preconditions	manual-precondition	verify	confirmed-desired	The GNU Bourne Again shell
bat	pacman	extra	pacman	cli-tools	package-only	install	current-explicit	Cat clone with syntax highlighting and git integration
blueman	pacman	extra	pacman	bluetooth	package-only	install	current-explicit	GTK+ Bluetooth Manager
blueprint-compiler	pacman	extra	pacman	development-toolchain	package-only	install	current-explicit	Markup language and compiler for GTK 4 user interfaces
bluez	pacman	extra	pacman	bluetooth	package-only	install	current-explicit	Daemons for the bluetooth protocol stack
bluez-utils	pacman	extra	pacman	bluetooth	package-only	install	confirmed-desired	Development and debugging utilities for the bluetooth protocol stack
btop	pacman	extra	pacman	cli-tools	package-only	install	current-explicit	A monitor of system resources, bpytop ported to C++
btrfs-assistant	pacman	extra	pacman	storage-maintenance	package-only	install	current-explicit	An application for managing BTRFS subvolumes and Snapper snapshots
btrfs-progs	pacman	core	verify-only	base-preconditions	manual-precondition	verify	current-explicit	Btrfs filesystem utilities
cargo-audit	pacman	extra	pacman	development-toolchain	package-only	install	current-explicit	Audit Cargo.lock for crates with security vulnerabilities
cava	pacman	extra	pacman	desktop-shared	config-backed	install	current-explicit	Console-based Audio Visualizer with support for multiple backends
cc-switch	pacman	archlinuxcn	pacman	development-toolchain	package-only	install	current-explicit	All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI
ccache	pacman	extra	pacman	build-foundation	package-only	install	current-explicit	Compiler cache that speeds up recompilation by caching previous compilations
cinnamon-translations	pacman	extra	pacman	desktop-apps	package-only	install	current-explicit	Translations for Cinnamon and Nemo
clang	pacman	extra	pacman	development-toolchain	package-only	install	current-explicit	C language family frontend for LLVM
clash-verge-rev-bin	aur	aur	aur-build	daily-apps	package-only	install	current-explicit	Graphical Clash-compatible proxy client
coreutils	pacman	core	verify-only	base-preconditions	manual-precondition	verify	confirmed-desired	The basic file, shell and text manipulation utilities of the GNU operating system
cups-pk-helper	pacman	extra	pacman	desktop-shared	package-only	install	current-explicit	A helper that makes system-config-printer use PolicyKit
devtools	pacman	extra	pacman	build-foundation	package-only	install	confirmed-desired	Official Arch clean-chroot tooling for isolated fixed AUR package builds
dgop	pacman	extra	pacman	desktop-shared	config-backed	install	current-explicit	System monitoring CLI + REST API
dms-shell-hyprland	pacman	extra	pacman	wm-hyprland	package-only	install	confirmed-desired	DankMaterialShell Quickshell provider for Hyprland (compositor glue)
dms-shell-niri	pacman	extra	pacman	wm-niri	package-only	install	current-explicit	DankMaterialShell Quickshell provider for Niri (compositor glue)
dnsmasq	pacman	extra	pacman	virtualization	deferred	deferred	current-explicit	Lightweight, easy to configure DNS forwarder and DHCP server [KVM legacy: no longer restored since 2026-08-08 KVM->VMware migration]
docker	pacman	extra	pacman	container-tools	package-only	install	current-explicit	Pack, ship and run any application as a lightweight container
docker-compose	pacman	extra	pacman	container-tools	package-only	install	current-explicit	Fast, isolated development environments using Docker
dosfstools	pacman	core	verify-only	base-tools	package-only	install	confirmed-desired	DOS filesystem utilities
downgrade	pacman	archlinuxcn	pacman	repository-tools	package-only	install	current-explicit	Bash script for downgrading one or more packages to a version in your cache or the A.L.A.
dsearch-bin	aur	aur	aur-build	desktop-shared	config-backed	install	current-explicit	Dank desktop search application
edk2-ovmf	pacman	extra	pacman	virtualization	deferred	deferred	current-explicit	Firmware for Virtual Machines (x86_64, i686 on x86_64) [KVM legacy: no longer restored since 2026-08-08 KVM->VMware migration]
efibootmgr	pacman	core	verify-only	base-tools	package-only	install	confirmed-desired	Linux user-space application to modify the EFI Boot Manager
evtest	pacman	extra	pacman	hardware-tools	package-only	install	current-explicit	Input device event monitor and query tool
exfat-utils	pacman	extra	verify-only	base-tools	package-only	install	confirmed-desired	Utilities for exFAT file system
eza	pacman	extra	pacman	cli-tools	package-only	install	current-explicit	A modern replacement for ls (community fork of exa)
fastfetch	pacman	extra	pacman	cli-tools	package-only	install	current-explicit	A feature-rich and performance oriented neofetch like system information tool
fcitx5	pacman	extra	pacman	input-fcitx-rime	config-backed	install	current-explicit	Next generation of fcitx, cross-platform input method framework
fcitx5-configtool	pacman	extra	pacman	input-fcitx-rime	config-backed	install	current-explicit	Configuration Tool for Fcitx5
fcitx5-gtk	pacman	extra	pacman	input-fcitx-rime	config-backed	install	current-explicit	Fcitx5 gtk im module and glib based dbus client library
fcitx5-qt	pacman	extra	pacman	input-fcitx-rime	config-backed	install	current-explicit	Fcitx5 Qt Library (Qt5 & Qt6 integrations)
fcitx5-rime	pacman	extra	pacman	input-fcitx-rime	config-backed	install	current-explicit	RIME support for Fcitx5
fcitx5-skin-fluentdark-git	aur	aur	aur-build	input-fcitx-rime	config-backed	install	current-explicit	Fluent Dark theme for Fcitx5 classic UI
fd	pacman	extra	pacman	developer-editor	package-only	install	current-explicit	Simple, fast and user-friendly alternative to find
ffmpeg	pacman	extra	pacman	recording	package-only	install	confirmed-desired	Complete solution to record, convert and stream audio and video
ffmpegthumbnailer	pacman	extra	pacman	desktop-apps	package-only	install	current-explicit	Lightweight video thumbnailer that can be used by file managers
file-roller	pacman	extra	pacman	desktop-apps	package-only	install	current-explicit	Create and modify archives
fish	pacman	extra	pacman	desktop-shared	config-backed	install	current-explicit	Smart and user friendly shell intended mostly for interactive use
flatpak	pacman	extra	pacman	desktop-apps	package-only	install	current-explicit	Linux application sandboxing and distribution framework (formerly xdg-app)
